,User_Name,Attempt_1_score,Attempt_2_score,Attempt_3_score,Total_score
360,Madhav Chandran,25,24,18,67
596,Nayantara Sathe,18,28,21,67
218,Arnav Shankar,18,20,29,67
859,Dhanuk Subramanian,23,25,19,67
1043,Devansh Sen,25,22,20,67
1054,Aarav Rajagopalan,20,28,19,67
553,Hiran Bhasin,21,21,25,67
849,Aarush Sawhney,28,22,17,67
559,Kashvi Babu,22,21,24,67
562,Chirag Gara,24,23,20,67
1094,Gokul Doctor,26,21,20,67
846,Misha Saha,24,21,22,67
569,Saanvi Bedi,22,20,25,67
1095,Saira Bassi,21,24,22,67
577,Khushi Koshy,16,27,24,67
957,Dhruv Sankaran,25,20,22,67
143,Lakshay Manne,19,23,25,67
546,Zoya Kari,22,18,27,67
1033,Gokul Gola,24,20,23,67
860,Aarna Sanghvi,27,21,19,67
436,Jayesh Borah,20,22,25,67
388,Jivin Shetty,19,28,20,67
327,Gatik Das,23,22,22,67
405,Aayush Mann,20,26,21,67
296,Zain Chowdhury,22,23,22,67
996,Vivaan Chhabra,24,16,27,67
434,Tanya Bhatti,25,24,18,67
444,Ryan Varughese,22,25,20,67
871,Rhea Kalita,21,23,23,67
487,Kartik Deol,18,26,23,67
272,Darshit Ramaswamy,25,23,19,67
265,Akarsh Lanka,26,21,20,67
247,Rohan Tripathi,25,19,23,67
891,Ishita Brahmbhatt,22,17,28,67
242,Farhan Tandon,26,19,22,67
130,Prerak Ghosh,20,26,21,67
583,Himmat Dayal,22,23,22,67
128,Samar Solanki,18,19,30,67
95,Ehsaan Dayal,21,22,24,67
734,Mannat Madan,23,18,26,67
718,Ishita Bir,29,23,15,67
706,Manjari Randhawa,20,23,24,67
41,Anay Dara,24,22,21,67
788,Samarth Ganesh,20,25,22,67
52,Urvi Vaidya,25,22,20,67
57,Ishaan Hayer,20,24,23,67
825,Piya Wali,19,23,25,67
672,Alia Vasa,26,21,20,67
657,Aarna Dara,21,22,24,67
651,Misha Tak,27,20,20,67
88,Hrishita Srinivas,18,24,25,67
94,Miraya Konda,24,19,24,67
1137,Jhanvi Bakshi,28,19,20,67
605,Nirvaan Andra,25,21,21,67
600,Nitara Sangha,25,23,19,67
106,Umang Bedi,17,24,26,67
633,Samiha Vora,21,21,25,67
805,Taimur Kaur,24,19,24,67
1123,Priyansh Kata,20,26,21,67
402,Ryan Kunda,18,24,24,66
