,User_Name,Attempt_1_score,Attempt_2_score,Attempt_3_score,Total_score
908,Rasha Khare,32,29,30,91
140,Advika Balasubramanian,31,29,29,89
1007,Aaina Mane,28,33,27,88
378,Ivan Sandal,26,32,30,88
862,Vardaniya Baral,32,31,25,88
117,Ritvik Sangha,32,27,29,88
1110,Vivaan Sundaram,28,31,28,87
46,Anahita Toor,23,32,32,87
438,Reyansh Kapoor,31,25,31,87
352,Riaan Gokhale,28,33,26,87
1187,Neysa Rao,29,28,30,87
91,Shaan Malhotra,30,29,28,87
1021,Nishith Khosla,21,30,35,86
182,Elakshi Ratta,31,28,27,86
693,Keya Garde,32,30,24,86
38,Akarsh Chandra,30,31,25,86
681,Anahita Ghosh,26,30,30,86
655,Nayantara Kaul,28,29,29,86
1107,Miraan Tandon,30,29,27,86
929,Farhan Desai,28,29,29,86
793,Hrishita Ravel,35,23,27,85
1037,Kiaan Barad,22,30,33,85
1062,Jayesh Goswami,26,30,29,85
631,Hazel Goswami,32,26,27,85
893,Armaan Suresh,27,29,29,85
190,Riaan Swamy,29,29,27,85
25,Trisha Andra,30,29,25,84
659,Shamik Thakkar,25,31,28,84
1068,Anaya Bhandari,29,27,28,84
613,Hazel Chahal,30,27,27,84
403,Lagan D’Alia,29,30,25,84
833,Parinaaz Lanka,27,31,26,84
1133,Vritika Hayer,24,26,34,84
922,Vanya Kunda,25,30,29,84
70,Nirvaan Golla,26,30,28,84
635,Lagan Aggarwal,25,21,38,84
944,Saksham Baria,26,27,31,84
175,Aarav Deep,25,29,29,83
167,Parinaaz Ramakrishnan,28,31,24,83
844,Prisha Thakkar,28,30,25,83
292,Lakshit Bose,28,27,28,83
900,Damini Dhar,27,34,22,83
744,Shaan Butala,31,24,28,83
114,Tarini Barman,28,28,27,83
409,Jivika Bakshi,28,26,29,83
982,Seher Soman,26,22,35,83
664,Nitara Golla,32,26,24,82
29,Ishita Barman,27,23,32,82
90,Vivaan Koshy,31,29,22,82
202,Vanya Arya,27,26,29,82
1100,Saira Kalita,27,27,28,82
328,Kaira Bala,35,22,25,82
609,Gokul Grover,30,25,27,82
973,Kiaan Gandhi,25,31,26,82
380,Hridaan Agarwal,27,24,31,82
481,Reyansh Cherian,29,26,27,82
984,Ayesha Rout,22,27,33,82
213,Jivin Kumar,33,22,27,82
955,Adah D’Alia,29,22,31,82
1023,Saksham Venkatesh,25,27,30,82
198,Lakshay Bajaj,29,29,24,82
155,Anay Gulati,28,28,26,82
794,Purab Sura,30,24,28,82
37,Charvi Apte,29,31,22,82
815,Inaaya  Dhingra,23,28,31,82
63,Madhup Hora,24,29,28,81
314,Diya Subramaniam,26,30,25,81
342,Piya Bali,30,30,21,81
370,Jayant Dara,25,29,27,81
755,Aarna Chatterjee,26,27,28,81
510,Charvi Grover,27,27,27,81
506,Mishti Tiwari,22,32,27,81
505,Zoya Walia,26,26,29,81
401,Adah Bhasin,31,30,20,81
910,Manjari Chahal,24,29,28,81
411,Veer Mane,29,27,25,81
85,Jivin Bahri,27,25,29,81
162,Ehsaan Datta,28,26,27,81
857,Gokul Jaggi,26,27,28,81
300,Misha Sarkar,27,31,23,81
812,Inaaya  Srinivas,27,26,28,81
947,Heer Deshmukh,26,27,28,81
784,Arnav Talwar,31,21,29,81
263,Yasmin Halder,27,24,30,81
244,Zaina Krishnan,28,28,25,81
958,Aarna Bahri,23,25,33,81
456,Taimur Kala,29,24,27,80
1035,Akarsh Acharya,27,24,29,80
457,Riya Sanghvi,28,26,26,80
720,Yuvraj  Jani,24,32,24,80
713,Pari Wagle,19,31,30,80
1112,Reyansh Magar,27,25,28,80
887,Rohan Borde,28,27,25,80
445,Kanav Guha,26,25,29,80
746,Taran Dewan,23,30,27,80
869,Shamik Khanna,28,26,26,80
863,Kaira Sehgal,26,24,30,80
433,Badal Badami,22,29,29,80
620,Miraan Das,23,29,28,80
777,Devansh Kashyap,32,29,19,80
538,Romil Kalita,30,22,28,80
545,Vaibhav Borra,25,25,30,80
568,Mannat Rattan,26,29,25,80
588,Nitara Dhawan,23,26,31,80
960,Pranay Sunder,27,27,26,80
756,Lavanya Kapur,21,28,31,80
810,Jiya Tiwari,29,22,29,80
1104,Charvi Ram,31,26,23,80
437,Suhana Sami,29,23,28,80
1012,Indranil Lal,27,30,23,80
34,Onkar Chauhan,31,23,26,80
193,Anay Atwal,30,28,22,80
84,Madhup Rattan,30,24,26,80
104,Charvi Saran,25,30,25,80
302,Divij Randhawa,27,28,25,80
1161,Nakul Swamy,25,29,26,80
